
   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    92402 1118.252    0.012 1118.252    0.012 :0(TF_Run)
    22523   26.528    0.001   65.596    0.003 memory.py:128(sample)
 14438763   25.980    0.000   25.988    0.000 :0(hasattr)
92402/92397   24.468    0.000   53.984    0.001 tensorflow_backend.py:297(_initialize_variables)
 10427000   20.852    0.000   25.924    0.000 :0(isinstance)
    92402   18.248    0.000 1305.356    0.014 session.py:903(_run)
  7339088   18.000    0.000   18.000    0.000 :0(append)
    24817   17.276    0.001 1417.440    0.057 dqn.py:227(backward)
6602441/6601910   13.280    0.000   14.432    0.000 :0(len)
  4338076   10.964    0.000   10.964    0.000 memory.py:45(__getitem__)
    92402    7.272    0.000   50.728    0.001 session.py:397(__init__)
   550237    7.256    0.000   16.216    0.000 ops.py:2416(_as_graph_element_locked)
   530812    6.088    0.000    6.088    0.000 :0(array)
  1390248    5.888    0.000   11.916    0.000 tensor_shape.py:362(as_dimension)
   341086    5.112    0.000   17.016    0.000 tensor_shape.py:402(__init__)
   319950    5.000    0.000   35.796    0.000 tensor_shape.py:675(is_compatible_with)
  1355447    4.820    0.000    4.820    0.000 ops.py:1278(name)
   114909    4.816    0.000    8.740    0.000 training.py:28(_standardize_input_data)
322320/92402    4.636    0.000   29.800    0.000 session.py:211(for_fetch)
   459090    4.592    0.000    8.024    0.000 ops.py:314(name)
  1555764    4.416    0.000    6.468    0.000 ops.py:472(__hash__)
   689318    4.012    0.000    8.080    0.000 tensor_shape.py:79(is_compatible_with)
    92386    3.996    0.000 1376.540    0.015 tensorflow_backend.py:2090(__call__)
   550237    3.788    0.000   20.004    0.000 ops.py:2381(as_graph_element)
312064/297428    3.280    0.000    6.132    0.000 contextlib.py:21(__exit__)
   319950    3.208    0.000    5.408    0.000 session.py:905(_feed_fn)
    39796    3.160    0.000    5.928    0.000 random.py:293(sample)
    92397    3.136    0.000    7.052    0.000 session.py:291(_uniquify_fetches)
   698010    3.076    0.000    4.064    0.000 tensor_shape.py:28(__init__)
   573691    3.016    0.000    5.664    0.000 compat.py:46(as_bytes)
    92388    2.988    0.000   13.988    0.000 nest.py:144(flatten_dict_items)
   325916    2.972    0.000    5.072    0.000 abc.py:128(__instancecheck__)
    92402    2.848    0.000    8.048    0.000 session.py:452(build_results)
   658095    2.812    0.000    2.820    0.000 :0(zip)
    92402    2.624    0.000 1127.148    0.012 session.py:1014(_run_fn)
  1026357    2.604    0.000    2.604    0.000 :0(getattr)
   720964    2.584    0.000    3.992    0.000 <string>:8(__new__)
    92402    2.468    0.000    8.796    0.000 session.py:1094(_update_with_movers)
   783055    2.432    0.000    6.020    0.000 memory.py:192(nb_entries)
   433386    2.388    0.000    4.556    0.000 ops.py:3786(get_default)
92402/92397    2.360    0.000   61.372    0.001 tensorflow_backend.py:124(get_session)
   992786    2.288    0.000    2.792    0.000 :0(get)
   988973    2.288    0.000    2.288    0.000 :0(range)
  1652107    2.224    0.000    2.224    0.000 :0(id)
   229923    2.212    0.000   13.776    0.000 session.py:247(__init__)
   319950    2.192    0.000    4.212    0.000 session_ops.py:264(_get_handle_feeder)
    92402    2.180    0.000 1308.420    0.014 session.py:667(run)
   330092    2.168    0.000   19.540    0.000 tensor_shape.py:795(as_shape)
    69863    2.164    0.000  610.532    0.009 training.py:1668(predict_on_batch)
   433386    2.004    0.000    6.560    0.000 ops.py:3821(get_default_graph)
    66/11    1.968    0.030 1515.392  137.763 mydqn.py:38(fit)
   553952    1.940    0.000    3.620    0.000 ops.py:127(_as_graph_element)
  1144654    1.900    0.000    1.900    0.000 session.py:594(graph)
   473676    1.892    0.000    2.704    0.000 ops.py:309(graph)
    92402    1.824    0.000    2.052    0.000 ops.py:2675(get_collection)
   565374    1.804    0.000    1.804    0.000 :0(encode)
   312064    1.776    0.000    2.428    0.000 contextlib.py:82(helper)
   525788    1.764    0.000    2.412    0.000 ops.py:3606(get_default)
   390830    1.744    0.000    2.388    0.000 ops.py:3620(get_controller)
    92397    1.628    0.000    3.592    0.000 session.py:343(build_results)
   646398    1.560    0.000    1.560    0.000 _weakrefset.py:70(__contains__)
   460786    1.508    0.000    2.156    0.000 tensor_shape.py:454(ndims)
    92397    1.420    0.000   28.860    0.000 session.py:330(__init__)
   748288    1.412    0.000    1.412    0.000 :0(random)
   721443    1.408    0.000    1.408    0.000 :0(__new__)
312064/297428    1.404    0.000    4.144    0.000 contextlib.py:15(__enter__)
   194404    1.376    0.000    2.396    0.000 errors_impl.py:457(raise_exception_on_not_ok_status)
   319950    1.348    0.000    5.560    0.000 session_ops.py:284(_get_handle_mover)
    22523    1.344    0.000    9.816    0.000 training.py:1277(_standardize_user_data)
   343834    1.292    0.000    3.724    0.000 numeric.py:463(asarray)
   332096    1.264    0.000    1.972    0.000 ops.py:378(get_shape)
   319950    1.224    0.000    2.580    0.000 ops.py:3528(is_feedable)
   856696    1.212    0.000    1.212    0.000 tensor_shape.py:74(value)
   319950    1.204    0.000    7.584    0.000 nest.py:74(is_sequence)
   195415    1.172    0.000    2.728    0.000 ops.py:2576(as_default)
   783055    1.152    0.000    1.152    0.000 memory.py:42(__len__)
   752268    1.152    0.000    1.152    0.000 ops.py:299(op)
   319924    1.080    0.000    1.580    0.000 tensorflow_backend.py:199(is_sparse)
   475419    1.012    0.000    1.012    0.000 :0(add)
   459846    0.960    0.000    0.960    0.000 session.py:120(<lambda>)
   571676    0.952    0.000    0.952    0.000 ops.py:1472(graph)
   229923    0.912    0.000    2.136    0.000 session.py:431(_assert_fetchable)
    92402    0.900    0.000 1128.852    0.012 session.py:990(_do_run)
3826/3760    0.888    0.000    9.520    0.003 op_def_library.py:289(apply_op)
   229923    0.864    0.000    1.300    0.000 session.py:283(build_results)
   298990    0.864    0.000    0.864    0.000 ops.py:1467(type)
   229923    0.836    0.000    1.224    0.000 ops.py:3536(is_fetchable)
   184804    0.824    0.000    0.824    0.000 ops.py:2039(version)
    92402    0.804    0.000 1127.952    0.012 session.py:1037(_do_call)
    22523    0.764    0.000  796.112    0.035 training.py:1575(train_on_batch)
   455682    0.760    0.000    0.760    0.000 tensor_shape.py:449(dims)
   203622    0.748    0.000    0.748    0.000 :0(items)
    22523    0.736    0.000    1.668    0.000 topology.py:1851(stateful)
   346498    0.720    0.000    0.720    0.000 ops.py:304(dtype)
    92402    0.716    0.000    3.988    0.000 ops.py:4093(get_collection)
   332096    0.708    0.000    0.708    0.000 ops.py:326(shape)
31966/30734    0.700    0.000    1.524    0.000 copy.py:145(deepcopy)
   330693    0.660    0.000    0.660    0.000 :0(iter)
    92402    0.660    0.000    1.660    0.000 session.py:1054(_extend_graph)
   322032    0.656    0.000    0.656    0.000 dtypes.py:119(as_numpy_dtype)
   312064    0.652    0.000    0.652    0.000 contextlib.py:12(__init__)
    23867    0.648    0.000    0.728    0.000 agent_gym.py:38(_step)
   319950    0.608    0.000    0.608    0.000 session.py:121(<lambda>)
    92402    0.556    0.000    4.544    0.000 variables.py:1036(global_variables)
